Inquiries_English,Main_Topic,Sub_Topic,Sub_Topic_English,Sub_Topic_Question,Established_Response,Established_Response_Tagalog
Where can one look for jobs in Saudi Arabia?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Saan pwede maghanap ng trabaho sa Saudi Arabia?,"To find legitimate job advertisements and recruitment agencies, kindly visit the Department of Migrant Workers website (https://dmw.gov.ph/approved-job-orders) and their facebook page https://www.facebook.com/dmw.gov.ph. You may also inquire aryour local Public Employment Service Office (PESO). REMINDER :  Do your research, ask questions, and beware of illegal recruiters!","Upang makahanap ng mga lehitimong ad ng trabaho at mga ahensya ng recruitment, mabait na bisitahin ang website ng Kagawaran ng Migrant Workers (https://dmw.gov.ph/approved-job-orders) at kanilang pahina sa Facebook https://www.facebook.com/dmw.gov.ph.Maaari mo ring tanungin ang Aryour Local Public Employment Service Office (PESO).Paalala: Gawin ang iyong pananaliksik, magtanong, at mag -ingat sa mga iligal na recruiter!"
How long is the contract in Saudi Arabia?,Pre-Deployment,Mga Kontrata at Mga Kailangan,Contracts and Requirements,Gaano katagal ang kontrata sa Saudi Arabia?,"For Household Service Workers (HSW) or domestic workers, the standard employment contract duration is 2 years. For non-HSW, the standard contract duration is  also 2 years. To know more about this, kindly visit the Department of Migrant Workers website at https://dmw.gov.ph/approved-job-orders. andtheir facebook page https://www.facebook.com/dmw.gov.ph. ","Para sa mga manggagawa sa serbisyo ng sambahayan (HSW) o mga manggagawa sa domestic, ang karaniwang tagal ng kontrata sa pagtatrabaho ay 2 taon.Para sa non-HSW, ang karaniwang tagal ng kontrata ay 2 taon din.Upang malaman ang higit pa tungkol dito, mabait na bisitahin ang website ng Kagawaran ng Migrant Workers sa https://dmw.gov.ph/approved-job-order.at ang pahina ng Facebook https://www.facebook.com/dmw.gov.ph."
How much is the salary of a domestic worker in Saudi Arabia?,Pre-Deployment,Sahod at Kompensasyon,Salaries and Compensation,Magkano ang sahod ng domestic worker sa Saudi Arabia?,"The standard salary for domestic workers (Household Service Workers, HSWs) in Saudi Arabia is typically 1,500 Saudi Riyals per month.  In addition, under DMW's existing rules and regulations, a ""no placement fee policy"" is being implemented for the processing of domestic workers regardless of destination, for further details kindly see, https://dmw.gov.ph/resources/dsms/DMW/ISN-EXT/2024/DMW-ADVISORY-10-2024.pdf. REMINDER :  Do your research, ask questions, and beware of illegal recruiters!","Ang pamantayang suweldo para sa mga domestic worker (Workers Service Workers, HSWS) sa Saudi Arabia ay karaniwang 1,500 saudi riyals bawat buwan.Bilang karagdagan, sa ilalim ng umiiral na mga patakaran at regulasyon ng DMW, ang isang ""walang patakaran sa paglalagay ng bayad"" ay ipinatutupad para sa pagproseso ng mga domestic worker anuman ang patutunguhan, para sa karagdagang mga detalye na mabait na makita, https://dmw.gov.ph/resources/dsms/DMW/ISN-ext/2024/DMW-Advisory-10-2024.pdf.Paalala: Gawin ang iyong pananaliksik, magtanong, at mag -ingat sa mga iligal na recruiter!"
How much is the salary of an OFW in Saudi Arabia?,Pre-Deployment,Sahod at Kompensasyon,Salaries and Compensation,Magkano ang sahod isang OFW sa Saudi Arabia?,"Please visit the website of the Department of Migrant Workers and search for your desired job position and country of destination in the approved job orders (https://dmw.gov.ph/approved-job-orders), or send a message to their Facebook page https://www.facebook.com/dmw.gov.ph. Do your research, ask questions, and beware of illegal recruiters!","Mangyaring bisitahin ang website ng Kagawaran ng Migrant Workers at maghanap para sa iyong nais na posisyon sa trabaho at bansa ng patutunguhan sa naaprubahan na mga order ng trabaho (https://dmw.gov.ph/approved-job-order), o magpadala ng mensahe sa kanilangPahina ng Facebook https://www.facebook.com/dmw.gov.ph.Gawin ang iyong pananaliksik, magtanong, at mag -ingat sa mga iligal na recruiter!"
How can you verify if the recruitment agency is legitimate?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Paano malalaman kung legit ang recruitment agency?,"To verify if a recruitment agency is legitimate, please visit the Department of Migrant Workers website  https://dmw.gov.ph/licensed-recruitment-agencies and search for licensed recruitment agencies. You can also check their approved job orders and contact them through their official channels for further verification.  Here, you can check the status of the recruitment agency, whether it is licensed, suspended, permanently banned, or closed.                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 Beware of illegal recruiters! Here are the signs of an illegal recruiter:

Not Registered with POEA: Always check the recruitment agency's status on the POEA website to see if they are licensed, suspended, permanently banned, or closed.
Immediate Request for Placement Fee Without Receipt: Legitimate agencies will always provide an official receipt for any payments.
Medical Exam Without Clear Employer: Ensure you know the specific employer before undergoing any medical exams.
Lack of Job Details: Be cautious if the recruiter is secretive about the job details.
Tourist Visa Instead of Working Visa: Applying for a tourist visa with the intent to work is illegal and unsafe.
Promises of Quick Departure: Legitimate job processes take time, so be wary of promises for quick departures.
No Valid ID: Always ask for valid identification from the recruiter.
No Employment Contract: A reputable job offer always includes a contract.
No Office: Insist on meeting at the agency’s office, not in informal places.
Showcases Success Stories: Be skeptical of success claims without verifiable proof.     ","Upang mapatunayan kung ang isang ahensya ng pangangalap ay lehitimo, mangyaring bisitahin ang website ng Kagawaran ng Migrant Workers https://dmw.gov.ph/licensed-recruitment-agencies at paghahanap para sa mga lisensyadong ahensya ng recruitment.Maaari mo ring suriin ang kanilang naaprubahang mga order ng trabaho at makipag -ugnay sa kanila sa pamamagitan ng kanilang mga opisyal na channel para sa karagdagang pag -verify.Dito, maaari mong suriin ang katayuan ng ahensya ng recruitment, kung ito ay lisensyado, suspindihin, permanenteng ipinagbawal, o sarado.

Mag -ingat sa mga iligal na recruiter!Narito ang mga palatandaan ng isang iligal na recruiter:

Hindi nakarehistro sa POEA: Laging suriin ang katayuan ng ahensya ng recruitment sa website ng POEA upang makita kung lisensyado sila, nasuspinde, permanenteng ipinagbawal, o sarado.
Agarang kahilingan para sa bayad sa paglalagay nang walang resibo: Ang mga lehitimong ahensya ay palaging magbibigay ng isang opisyal na resibo para sa anumang mga pagbabayad.
Medikal na pagsusulit nang walang malinaw na employer: Tiyaking alam mo ang tukoy na employer bago sumailalim sa anumang mga medikal na pagsusulit.
Kakulangan ng mga detalye ng trabaho: Maging maingat kung ang recruiter ay lihim tungkol sa mga detalye ng trabaho.
Ang visa ng turista sa halip na nagtatrabaho visa: ang pag -aaplay para sa isang visa ng turista na may hangarin na magtrabaho ay ilegal at hindi ligtas.
Mga Pangako ng Mabilis na Pag -alis: Ang mga lehitimong proseso ng trabaho ay tumatagal ng oras, kaya't maging maingat sa mga pangako para sa mabilis na pag -alis.
Walang wastong ID: Laging humingi ng wastong pagkakakilanlan mula sa recruiter.
Walang kontrata sa pagtatrabaho: Ang isang kagalang -galang na alok sa trabaho ay palaging may kasamang kontrata.
Walang Opisina: Iginiit ang pagpupulong sa tanggapan ng ahensya, hindi sa mga impormal na lugar.
Ipinapakita ang mga kwentong tagumpay: Maging may pag -aalinlangan sa mga paghahabol sa tagumpay nang walang napatunayan na patunay."
What is PESO?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Ano ang PESO?,"The Public Employment Service Office (PESO) is a non-fee charging multi-employment service facility or entity established or accredited pursuant to Republic Act No. 8759, otherwise known as the PESO Act of 1999. The Act provides that in order to carry out full employment and equality of employment opportunities for all, and to strengthen and expand the existing employment facilitation service machinery of the government particularly at the local levels, there shall be established in all capital towns of provinces, key cities, and other strategic areas a Public Employment Service Office.

The PESO's are community-based and maintained largely by local government units (LGU's) and a number of non-governmental organizations (NGO's) or community-based organizations (CBO's) and state universities and colleges (SUC's). The PESO's are linked to the regional offices of the Department of Labor and Employment (DOLE) for coordination and technical supervision, and to the DOLE central office, to constitute the national employment service network.                                                                                                                                               Services of PESO for OFWs or Migrant Workers:

Job Fairs: Connects job seekers with employers for immediate job matching.
Reintegration Assistance: Helps returning Filipino migrant workers reintegrate into society.
Employment Counseling: Provides career guidance, pre-employment counseling, and orientation.
Livelihood Programs: Offers information on livelihood and self-employment opportunities.
Special Credit Assistance: Enables qualified applicants to avail opportunities for overseas employment.  (https://peis.philjobnet.ph/peso.aspx)","Ang Public Employment Service Office (PESO) ay isang hindi bayad na pagsingil ng Multi-Employment Service Facility o Entity na itinatag o akreditado alinsunod sa Republic Act No. 8759, kung hindi man kilala bilang Peso Act of 1999. Ang Batas ay nagbibigay na upang maisagawaBuong trabaho at pagkakapantay -pantay ng mga oportunidad sa pagtatrabaho para sa lahat, at upang palakasin at mapalawak ang umiiral na makinarya ng serbisyo ng pagpapadali ng trabaho lalo na sa mga lokal na antas, dapat na maitatag sa lahat ng mga kabisera ng bayan ng mga lalawigan, pangunahing mga lungsod, at iba pang mga madiskarteng lugar ng isang publikoOpisina ng Serbisyo sa Trabaho.

Ang PESO ay batay sa pamayanan at pinananatili ng mga lokal na yunit ng gobyerno (LGU) at isang bilang ng mga non-government organization (NGO's) o mga organisasyong nakabase sa komunidad (CBO's) at mga unibersidad ng estado at kolehiyo (SUC's).Ang PESO's ay naka -link sa mga tanggapan ng rehiyon ng Department of Labor and Employment (DOLE) para sa koordinasyon at teknikal na pangangasiwa, at sa Dole Central Office, upang maging bumubuo ng National Employment Service Network.Mga Serbisyo ng Peso para sa OFWS o Migrant Workers:

Job Fairs: Nag -uugnay sa mga naghahanap ng trabaho sa mga employer para sa agarang pagtutugma sa trabaho.
Tulong sa Reintegration: Tumutulong sa pagbabalik ng mga manggagawa sa migranteng Pilipino na muling nag -iisa sa lipunan.
Pagpapayo sa Trabaho: Nagbibigay ng gabay sa karera, pagpapayo sa pre-employment, at oryentasyon.
Mga Programa sa Kabuhayan: Nag-aalok ng impormasyon tungkol sa mga pagkakataon sa kabuhayan at pagtatrabaho sa sarili.
Espesyal na Tulong sa Credit: Pinapayagan ang mga kwalipikadong aplikante na magkaroon ng mga pagkakataon para sa trabaho sa ibang bansa.(https://peis.philjobnet.ph/peso.aspx)"
Where is the office of OWWA?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Saan ang opisina ng OWWA?,"OWWA Central Office

Full Name: Overseas Workers Welfare Administration (OWWA)
Address: F.B. Harrison St, Pasay, Metro Manila
Contact Numbers: 8891-7601 to 24
To find the nearest OWWA office or OWWA welfare regional offices, click the link https://owwa.gov.ph/?page_id=4172","Owwa Central Office

Buong Pangalan: Overseas Workers Welfare Administration (OWWA)
Address: F.B.Harrison St, Pasay, Metro Manila
Mga Numero ng Makipag-ugnay: 8891-7601 hanggang 24
Upang mahanap ang pinakamalapit na tanggapan ng OWWA o OWWA Welfare Regional Office, i -click ang link https://owwa.gov.ph/?page_id=4172"
Where is the office of DMW?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Saan ang opisina ng DMW?,"The Department of Migrant Workers (DMW) office is located at Blas F. Ople Building, Ortigas Ave., Cor. EDSA Ave., Mandaluyong City.

For inquiries, you can call their hotline at 8-722-1144 or 8-722-1155. You can also send them a message on their Facebook page - https://www.facebook.com/dmw.gov.ph/","Ang tanggapan ng Kagawaran ng Migrant Workers (DMW) ay matatagpuan sa Blas F. Ople Building, Ortigas Ave., cor.Edsa Ave., Lungsod ng Mandaluyong.

Para sa mga katanungan, maaari kang tumawag sa kanilang hotline sa 8-722-1144 o 8-722-1155.Maaari ka ring magpadala sa kanila ng isang mensahe sa kanilang pahina sa Facebook - https://www.facebook.com/dmw.gov.ph/"
Where is the office of DFA?,Pre-Deployment,Paghahanap ng Trabaho at Ahensya,Job Search and Agencies,Saan ang opisina ng DFA?,"The DFA Office of Consular Affairs (DFA-OCA) is located at ASEANA Business Park, Pres. Diosdado Macapagal Blvd. cor. Bradco Ave., Brgy. Tambo, Parañaque City 1700, Philippines.

For more information:

Facebook: DFA Facebook Page - https://www.facebook.com/dfaphl
Website: DFA-OCA Website - https://dfa-oca.ph/
Contact Numbers: For various services, https://dfa-oca.ph/contact-us/","Ang DFA Office of Consular Affairs (DFA-OCA) ay matatagpuan sa ASEANA Business Park, Pres.Diosdado Macapagal Blvd.cor.Bradco Ave., Brgy.Tambo, Parañaque City 1700, Pilipinas.

Para sa karagdagang impormasyon:

Facebook: DFA Facebook Page - https://www.facebook.com/dfaphl
Website: DFA-OCA Website-https://dfa-oca.ph/
Mga Numero ng Makipag-ugnay: Para sa iba't ibang mga serbisyo, https://dfa-oca.ph/contact-us/"
What are the requirements that need to be submitted to the recruitment agency?,Pre-Deployment,Mga Kontrata at Mga Kailangan,Contracts and Requirements,Ano ang mga requirements na kailangan na ipasa sa recruitment agency ?,"The Overseas Filipino Worker shall pay the following fees and costs:
a. Documentation costs:
1. Passport;
2. NBI/Police/Barangay Clearance;
3. NSO authenticated birth certificate;
4. Transcript of Records and diploma issued by the school, certified by the
CHED and authenticated by the DFA;
5. Professional license issued by the PRC, authenticated by the DFA;
6. Certificate of Competency issued by TESDA or other competent
certifying body for the job applied for; and
7. DOH prescribed medical/health examination, based on the host country
medical protocol.
b. Membership with Philhealth, Pag-Ibig and the Social Security System. (Section
50)","Ang Overseas Filipino Worker ay dapat magbayad ng mga sumusunod na bayarin at gastos:
a.Mga Gastos sa Dokumentasyon:
1. Pasaporte;
2. NBI/Pulis/Barangay Clearance;
3. NSO napatunayan na sertipiko ng kapanganakan;
4. Transcript ng mga talaan at diploma na inisyu ng paaralan, na sertipikado ng
Ched at napatunayan ng DFA;
5. Ang lisensya ng propesyonal na inisyu ng PRC, na napatunayan ng DFA;
6. Sertipiko ng Kumpetisyon na inilabas ng TESDA o iba pang karampatang
Ang pagpapatunay ng katawan para sa trabaho na inilalapat para sa;at
7. Inireseta ng DOH ang pagsusuri sa medikal/kalusugan, batay sa host bansa
Medical Protocol.
b.Pagiging kasapi sa PhilHealth, PAG-IBIG at ang Social Security System.(Seksyon
50)"
